iter	Passed	Remaining
428	1640	2183
429	1642	2177
430	1645	2172
431	1647	2165
432	1649	2160
433	1652	2155
434	1654	2148
435	1660	2147
436	1663	2143
437	1666	2138
438	1669	2133
439	1673	2129
440	1676	2125
441	1679	2119
442	1687	2121
443	1691	2117
444	1694	2113
445	1697	2108
446	1699	2102
447	1704	2099
448	1707	2095
449	1711	2092
450	1717	2091
451	1721	2086
452	1724	2081
453	1727	2077
454	1729	2072
455	1732	2067
456	1735	2062
457	1738	2057
458	1741	2053
459	1743	2047
460	1747	2042
461	1750	2038
462	1752	2033
463	1755	2028
464	1759	2024
465	1763	2020
466	1765	2015
467	1769	2011
468	1772	2006
469	1774	2001
470	1777	1996
471	1780	1991
472	1783	1987
473	1788	1985
474	1794	1983
475	1802	1984
476	1805	1979
477	1809	1976
478	1812	1971
479	1815	1966
480	1817	1961
481	1820	1956
482	1823	1951
483	1826	1947
484	1829	1942
485	1832	1938
486	1836	1934
487	1841	1931
488	1844	1927
489	1847	1923
490	1850	1918
491	1853	1913
492	1856	1909
493	1859	1904
494	1862	1899
495	1864	1894
496	1867	1889
497	1877	1892
498	1880	1888
499	1883	1883
500	1889	1882
501	1893	1878
502	1896	1873
503	1901	1871
504	1904	1867
505	1910	1864
506	1912	1860
507	1916	1855
508	1918	1851
509	1921	1846
510	1924	1841
511	1926	1836
512	1929	1832
513	1933	1828
514	1935	1822
515	1940	1820
516	1943	1815
517	1947	1811
518	1951	1808
519	1963	1812
520	1972	1813
521	1977	1810
522	1982	1807
523	1987	1804
524	1995	1805
525	2006	1807
526	2011	1805
527	2015	1801
528	2019	1798
529	2027	1798
530	2032	1794
531	2036	1791
532	2040	1787
533	2043	1783
534	2048	1780
535	2050	1775
536	2052	1769
537	2056	1765
538	2059	1761
539	2061	1756
540	2067	1753
541	2072	1751
542	2077	1748
543	2080	1743
544	2083	1739
545	2088	1736
546	2092	1733
547	2095	1728
548	2098	1723
549	2101	1719
550	2103	1714
551	2106	1709
552	2109	1705
553	2113	1701
554	2121	1700
555	2125	1697
556	2129	1693
557	2132	1688
558	2135	1684
559	2138	1680
560	2141	1675
561	2143	1670
562	2147	1667
563	2154	1665
564	2158	1661
565	2163	1658
566	2167	1655
567	2170	1650
568	2172	1645
569	2175	1641
570	2178	1637
571	2182	1633
572	2193	1634
573	2198	1631
574	2201	1627
575	2204	1622
576	2207	1618
577	2211	1614
578	2213	1609
579	2218	1606
580	2221	1602
581	2224	1597
582	2227	1593
583	2230	1589
584	2234	1584
585	2238	1581
586	2242	1577
587	2245	1573
588	2249	1569
589	2251	1564
590	2254	1560
591	2256	1555
592	2258	1550
593	2260	1545
594	2263	1540
595	2266	1536
596	2269	1531
597	2272	1527
598	2273	1522
599	2276	1517
600	2278	1512
601	2280	1507
602	2282	1502
603	2284	1497
604	2287	1493
605	2288	1488
606	2290	1483
607	2294	1479
608	2296	1474
609	2298	1469
610	2301	1465
611	2303	1460
612	2306	1456
613	2310	1452
614	2312	1447
615	2315	1443
616	2317	1438
617	2320	1434
618	2323	1430
619	2326	1425
620	2329	1421
621	2332	1417
622	2334	1412
623	2336	1407
624	2338	1403
625	2340	1398
626	2343	1393
627	2345	1389
628	2347	1384
629	2350	1380
630	2353	1376
631	2356	1372
632	2359	1367
633	2365	1365
634	2367	1360
635	2368	1355
636	2371	1351
637	2373	1346
638	2375	1342
639	2378	1337
640	2387	1336
641	2390	1332
642	2397	1331
643	2400	1326
644	2402	1322
645	2405	1318
646	2410	1314
647	2413	1310
648	2421	1309
649	2428	1307
650	2433	1304
651	2436	1300
652	2439	1296
653	2442	1292
654	2447	1289
655	2450	1285
656	2458	1283
657	2461	1279
658	2467	1276
659	2472	1273
660	2474	1269
661	2478	1265
662	2480	1260
663	2484	1257
664	2486	1252
665	2489	1248
666	2493	1244
667	2495	1240
668	2501	1237
669	2506	1234
670	2509	1230
671	2513	1226
672	2516	1222
673	2518	1218
674	2521	1214
675	2523	1209
676	2526	1205
677	2528	1201
678	2531	1196
679	2535	1193
680	2538	1188
681	2545	1187
682	2551	1184
683	2555	1180
684	2558	1176
685	2561	1172
686	2563	1167
687	2565	1163
688	2567	1159
689	2569	1154
690	2574	1151
691	2578	1147
692	2580	1143
693	2582	1138
694	2587	1135
695	2589	1130
696	2591	1126
697	2594	1122
698	2596	1118
699	2598	1113
700	2601	1109
701	2605	1105
702	2607	1101
703	2610	1097
704	2612	1093
705	2615	1089
706	2617	1084
707	2620	1080
708	2622	1076
709	2627	1073
710	2630	1069
711	2633	1065
712	2635	1060
713	2638	1056
714	2640	1052
715	2642	1048
716	2645	1044
717	2650	1041
718	2653	1037
719	2657	1033
720	2659	1029
721	2662	1025
722	2664	1020
723	2666	1016
724	2668	1012
725	2672	1008
726	2675	1004
727	2678	1000
728	2680	996
729	2683	992
730	2686	988
731	2689	984
732	2692	980
733	2696	977
734	2699	973
735	2704	970
736	2707	966
737	2713	963
738	2717	959
739	2721	956
740	2724	952
741	2726	947
742	2728	943
743	2732	940
744	2734	936
745	2739	932
746	2742	928
747	2748	925
748	2752	922
749	2755	918
750	2758	914
751	2760	910
752	2763	906
753	2767	903
754	2770	899
755	2773	895
756	2781	892
757	2786	889
758	2789	885
759	2792	881
760	2795	877
761	2798	874
762	2801	870
763	2808	867
764	2812	863
765	2814	859
766	2819	856
767	2821	852
768	2824	848
769	2831	845
770	2834	841
771	2836	837
772	2841	834
773	2844	830
774	2847	826
775	2850	822
776	2853	818
777	2857	815
778	2861	811
779	2864	807
780	2866	803
781	2873	801
782	2876	797
783	2880	793
784	2883	789
785	2886	785
786	2889	781
787	2892	778
788	2894	774
789	2897	770
790	2899	766
791	2902	762
792	2904	758
793	2908	754
794	2910	750
795	2913	746
796	2915	742
797	2918	738
798	2921	734
799	2923	730
800	2925	726
801	2928	722
802	2931	719
803	2934	715
804	2936	711
805	2938	707
806	2940	703
807	2944	699
808	2946	695
809	2948	691
810	2952	688
811	2956	684
812	2959	680
813	2961	676
814	2963	672
815	2966	668
816	2968	664
817	2971	661
818	2975	657
819	2983	654
820	2986	651
821	2989	647
822	2991	643
823	2994	639
824	2999	636
825	3003	632
826	3006	628
827	3008	624
828	3011	621
829	3014	617
830	3016	613
831	3018	609
832	3022	606
833	3025	602
834	3028	598
835	3030	594
836	3033	590
837	3035	586
838	3036	582
839	3039	579
840	3042	575
841	3044	571
842	3047	567
843	3051	564
844	3053	560
845	3056	556
846	3058	552
847	3063	549
848	3065	545
849	3067	541
850	3069	537
851	3074	534
852	3077	530
853	3080	526
854	3083	522
855	3086	519
856	3088	515
857	3090	511
858	3093	507
859	3096	504
860	3100	500
861	3106	497
862	3110	493
863	3112	489
864	3115	486
865	3117	482
866	3120	478
867	3125	475
868	3129	471
869	3133	468
870	3136	464
871	3141	461
872	3145	457
873	3150	454
874	3156	450
875	3160	447
876	3163	443
877	3167	440
878	3170	436
879	3173	432
880	3179	429
881	3182	425
882	3185	422
883	3187	418
884	3191	414
885	3193	410
886	3197	407
887	3204	404
888	3208	400
889	3211	396
890	3215	393
891	3218	389
892	3223	386
893	3227	382
894	3230	379
895	3233	375
896	3235	371
897	3237	367
898	3240	364
899	3246	360
900	3248	356
901	3252	353
902	3254	349
903	3257	345
904	3259	342
905	3261	338
906	3263	334
907	3267	331
908	3271	327
909	3274	323
910	3276	320
911	3279	316
912	3281	312
913	3284	309
914	3289	305
915	3292	301
916	3296	298
917	3298	294
918	3301	290
919	3304	287
920	3306	283
921	3310	280
922	3312	276
923	3315	272
924	3317	268
925	3319	265
926	3321	261
927	3323	257
928	3324	254
929	3327	250
930	3329	246
931	3331	243
932	3333	239
933	3336	235
934	3338	232
935	3339	228
936	3341	224
937	3344	221
938	3345	217
939	3347	213
940	3348	209
941	3351	206
942	3352	202
943	3354	198
944	3355	195
945	3358	191
946	3360	188
947	3361	184
948	3363	180
949	3365	177
950	3368	173
951	3369	169
952	3371	166
953	3374	162
954	3375	159
955	3377	155
956	3380	151
957	3382	148
958	3384	144
959	3386	141
960	3389	137
961	3391	133
962	3393	130
963	3396	126
964	3398	123
965	3399	119
966	3401	116
967	3403	112
968	3404	108
969	3406	105
970	3407	101
971	3409	98
972	3411	94
973	3413	91
974	3414	87
975	3417	84
976	3419	80
977	3420	76
978	3422	73
979	3424	69
980	3427	66
981	3429	62
982	3430	59
983	3432	55
984	3434	52
985	3435	48
986	3437	45
987	3438	41
988	3441	38
989	3442	34
990	3444	31
991	3447	27
992	3449	24
993	3451	20
994	3455	17
995	3459	13
996	3461	10
997	3463	6
998	3466	3
999	3468	0
